parameter,value,domain,congruency,par_class
mu_jCBcon,0.309187,NA,NA,cb
mu_jCBdom,0.158643,NA,NA,cb
mu_jCB,0.203393,NA,NA,cb
mu_jCBcon,0.319591,NA,NA,cb
mu_jCBdom,0.135254,NA,NA,cb
mu_jCB,0.168942,NA,NA,cb
mu_jCBcon,0.302191,NA,NA,cb
mu_jCBdom,0.150796,NA,NA,cb
mu_jCB,0.204738,NA,NA,cb
mu_jCBcon,0.359277,NA,NA,cb
mu_jCBdom,0.146096,NA,NA,cb
mu_jCB,0.184541,NA,NA,cb
mu_jCBcon,0.337841,NA,NA,cb
mu_jCBdom,0.170269,NA,NA,cb
mu_jCB,0.153729,NA,NA,cb
mu_jCBcon,0.302856,NA,NA,cb
mu_jCBdom,0.130474,NA,NA,cb
mu_jCB,0.16503,NA,NA,cb
mu_jCBcon,0.358191,NA,NA,cb
mu_jCBdom,0.155029,NA,NA,cb
mu_jCB,0.169031,NA,NA,cb
mu_jCBcon,0.333335,NA,NA,cb
mu_jCBdom,0.157166,NA,NA,cb
mu_jCB,0.172995,NA,NA,cb
mu_jCBcon,0.372012,NA,NA,cb
mu_jCBdom,0.175429,NA,NA,cb
mu_jCB,0.164226,NA,NA,cb
mu_jCBcon,0.342153,NA,NA,cb
mu_jCBdom,0.151,NA,NA,cb
mu_jCB,0.149251,NA,NA,cb
mu_jCBcon,0.34396,NA,NA,cb
mu_jCBdom,0.163803,NA,NA,cb
mu_jCB,0.178164,NA,NA,cb
mu_jCBcon,0.309338,NA,NA,cb
mu_jCBdom,0.149342,NA,NA,cb
mu_jCB,0.172328,NA,NA,cb
mu_jCBcon,0.360211,NA,NA,cb
mu_jCBdom,0.150624,NA,NA,cb
mu_jCB,0.167448,NA,NA,cb
mu_jCBcon,0.331378,NA,NA,cb
mu_jCBdom,0.155039,NA,NA,cb
mu_jCB,0.17111,NA,NA,cb
mu_jCBcon,0.331937,NA,NA,cb
mu_jCBdom,0.160409,NA,NA,cb
mu_jCB,0.160546,NA,NA,cb
mu_jCBcon,0.348039,NA,NA,cb
mu_jCBdom,0.185838,NA,NA,cb
mu_jCB,0.158491,NA,NA,cb
mu_jCBcon,0.331267,NA,NA,cb
mu_jCBdom,0.1536,NA,NA,cb
mu_jCB,0.163475,NA,NA,cb
mu_jCBcon,0.29217,NA,NA,cb
mu_jCBdom,0.152268,NA,NA,cb
mu_jCB,0.164145,NA,NA,cb
mu_jCBcon,0.323913,NA,NA,cb
mu_jCBdom,0.178948,NA,NA,cb
mu_jCB,0.151408,NA,NA,cb
mu_jCBcon,0.318975,NA,NA,cb
mu_jCBdom,0.164145,NA,NA,cb
mu_jCB,0.175668,NA,NA,cb
mu_jCBcon,0.360243,NA,NA,cb
mu_jCBdom,0.155436,NA,NA,cb
mu_jCB,0.144809,NA,NA,cb
mu_jCBcon,0.303214,NA,NA,cb
mu_jCBdom,0.176889,NA,NA,cb
mu_jCB,0.143493,NA,NA,cb
mu_jCBcon,0.377389,NA,NA,cb
mu_jCBdom,0.161022,NA,NA,cb
mu_jCB,0.168877,NA,NA,cb
mu_jCBcon,0.283023,NA,NA,cb
mu_jCBdom,0.167105,NA,NA,cb
mu_jCB,0.160284,NA,NA,cb
mu_jCBcon,0.306841,NA,NA,cb
mu_jCBdom,0.164179,NA,NA,cb
mu_jCB,0.160946,NA,NA,cb
mu_jCBcon,0.35512,NA,NA,cb
mu_jCBdom,0.159916,NA,NA,cb
mu_jCB,0.147519,NA,NA,cb
mu_jCBcon,0.304551,NA,NA,cb
mu_jCBdom,0.175882,NA,NA,cb
mu_jCB,0.177308,NA,NA,cb
mu_jCBcon,0.320501,NA,NA,cb
mu_jCBdom,0.138309,NA,NA,cb
mu_jCB,0.1581,NA,NA,cb
mu_jCBcon,0.311851,NA,NA,cb
mu_jCBdom,0.196025,NA,NA,cb
mu_jCB,0.161828,NA,NA,cb
mu_jCBcon,0.313195,NA,NA,cb
mu_jCBdom,0.168311,NA,NA,cb
mu_jCB,0.151673,NA,NA,cb
mu_jCBcon,0.32623,NA,NA,cb
mu_jCBdom,0.175774,NA,NA,cb
mu_jCB,0.179946,NA,NA,cb
mu_jCBcon,0.372116,NA,NA,cb
mu_jCBdom,0.151947,NA,NA,cb
mu_jCB,0.16636600000000001,NA,NA,cb
mu_jCBcon,0.376504,NA,NA,cb
mu_jCBdom,0.170305,NA,NA,cb
mu_jCB,0.148367,NA,NA,cb
mu_jCBcon,0.347637,NA,NA,cb
mu_jCBdom,0.180071,NA,NA,cb
mu_jCB,0.15247,NA,NA,cb
mu_jCBcon,0.3448,NA,NA,cb
mu_jCBdom,0.168256,NA,NA,cb
mu_jCB,0.1626,NA,NA,cb
mu_jCBcon,0.336875,NA,NA,cb
mu_jCBdom,0.157671,NA,NA,cb
mu_jCB,0.157964,NA,NA,cb
mu_jCBcon,0.310746,NA,NA,cb
mu_jCBdom,0.170697,NA,NA,cb
mu_jCB,0.154735,NA,NA,cb
mu_jCBcon,0.348719,NA,NA,cb
mu_jCBdom,0.158227,NA,NA,cb
mu_jCB,0.158803,NA,NA,cb
mu_jCBcon,0.317651,NA,NA,cb
mu_jCBdom,0.164919,NA,NA,cb
mu_jCB,0.165548,NA,NA,cb
mu_jCBcon,0.316761,NA,NA,cb
mu_jCBdom,0.144689,NA,NA,cb
mu_jCB,0.173123,NA,NA,cb
mu_jCBcon,0.324527,NA,NA,cb
mu_jCBdom,0.162417,NA,NA,cb
mu_jCB,0.17036,NA,NA,cb
mu_jCBcon,0.376045,NA,NA,cb
mu_jCBdom,0.152506,NA,NA,cb
mu_jCB,0.153476,NA,NA,cb
mu_jCBcon,0.312176,NA,NA,cb
mu_jCBdom,0.171253,NA,NA,cb
mu_jCB,0.160589,NA,NA,cb
mu_jCBcon,0.356023,NA,NA,cb
mu_jCBdom,0.151417,NA,NA,cb
mu_jCB,0.173124,NA,NA,cb
mu_jCBcon,0.355857,NA,NA,cb
mu_jCBdom,0.13155,NA,NA,cb
mu_jCB,0.171022,NA,NA,cb
mu_jCBcon,0.307961,NA,NA,cb
mu_jCBdom,0.172683,NA,NA,cb
mu_jCB,0.169806,NA,NA,cb
mu_jCBcon,0.344017,NA,NA,cb
mu_jCBdom,0.173959,NA,NA,cb
mu_jCB,0.167059,NA,NA,cb
mu_jCBcon,0.310732,NA,NA,cb
mu_jCBdom,0.178733,NA,NA,cb
mu_jCB,0.157235,NA,NA,cb
mu_jCBcon,0.30008,NA,NA,cb
mu_jCBdom,0.150229,NA,NA,cb
mu_jCB,0.17749,NA,NA,cb
mu_jCBcon,0.347312,NA,NA,cb
mu_jCBdom,0.172326,NA,NA,cb
mu_jCB,0.194851,NA,NA,cb
mu_jCBcon,0.296344,NA,NA,cb
mu_jCBdom,0.162159,NA,NA,cb
mu_jCB,0.151142,NA,NA,cb
mu_jCBcon,0.365515,NA,NA,cb
mu_jCBdom,0.171604,NA,NA,cb
mu_jCB,0.172593,NA,NA,cb
mu_jCBcon,0.316323,NA,NA,cb
mu_jCBdom,0.173152,NA,NA,cb
mu_jCB,0.158178,NA,NA,cb
mu_jCBcon,0.298195,NA,NA,cb
mu_jCBdom,0.133635,NA,NA,cb
mu_jCB,0.186745,NA,NA,cb
mu_jCBcon,0.343756,NA,NA,cb
mu_jCBdom,0.151455,NA,NA,cb
mu_jCB,0.183369,NA,NA,cb
mu_jCBcon,0.295014,NA,NA,cb
mu_jCBdom,0.135686,NA,NA,cb
mu_jCB,0.190168,NA,NA,cb
mu_jCBcon,0.315322,NA,NA,cb
mu_jCBdom,0.14874,NA,NA,cb
mu_jCB,0.198083,NA,NA,cb
mu_jCBcon,0.298257,NA,NA,cb
mu_jCBdom,0.147,NA,NA,cb
mu_jCB,0.177286,NA,NA,cb
mu_jCBcon,0.339421,NA,NA,cb
mu_jCBdom,0.146891,NA,NA,cb
mu_jCB,0.157921,NA,NA,cb
mu_jCBcon,0.331255,NA,NA,cb
mu_jCBdom,0.163284,NA,NA,cb
mu_jCB,0.14999,NA,NA,cb
mu_jCBcon,0.316919,NA,NA,cb
mu_jCBdom,0.158112,NA,NA,cb
mu_jCB,0.168369,NA,NA,cb
mu_jCBcon,0.293703,NA,NA,cb
mu_jCBdom,0.152605,NA,NA,cb
mu_jCB,0.1528,NA,NA,cb
mu_jCBcon,0.339372,NA,NA,cb
mu_jCBdom,0.155169,NA,NA,cb
mu_jCB,0.173424,NA,NA,cb
mu_jCBcon,0.305278,NA,NA,cb
mu_jCBdom,0.174914,NA,NA,cb
mu_jCB,0.154417,NA,NA,cb
mu_jCBcon,0.365526,NA,NA,cb
mu_jCBdom,0.152613,NA,NA,cb
mu_jCB,0.185613,NA,NA,cb
mu_jCBcon,0.348249,NA,NA,cb
mu_jCBdom,0.140125,NA,NA,cb
mu_jCB,0.1753,NA,NA,cb
mu_jCBcon,0.357069,NA,NA,cb
mu_jCBdom,0.182053,NA,NA,cb
mu_jCB,0.147166,NA,NA,cb
mu_jCBcon,0.290245,NA,NA,cb
mu_jCBdom,0.14256,NA,NA,cb
mu_jCB,0.17826,NA,NA,cb
mu_jCBcon,0.31357,NA,NA,cb
mu_jCBdom,0.153938,NA,NA,cb
mu_jCB,0.169705,NA,NA,cb
mu_jCBcon,0.298792,NA,NA,cb
mu_jCBdom,0.154447,NA,NA,cb
mu_jCB,0.177863,NA,NA,cb
mu_jCBcon,0.323311,NA,NA,cb
mu_jCBdom,0.182877,NA,NA,cb
mu_jCB,0.165246,NA,NA,cb
mu_jCBcon,0.305476,NA,NA,cb
mu_jCBdom,0.158822,NA,NA,cb
mu_jCB,0.17647,NA,NA,cb
mu_jCBcon,0.338852,NA,NA,cb
mu_jCBdom,0.184762,NA,NA,cb
mu_jCB,0.153577,NA,NA,cb
mu_jCBcon,0.33952,NA,NA,cb
mu_jCBdom,0.149686,NA,NA,cb
mu_jCB,0.178767,NA,NA,cb
mu_jCBcon,0.338474,NA,NA,cb
mu_jCBdom,0.152527,NA,NA,cb
mu_jCB,0.16389599999999999,NA,NA,cb
mu_jCBcon,0.312848,NA,NA,cb
mu_jCBdom,0.169503,NA,NA,cb
mu_jCB,0.172744,NA,NA,cb
mu_jCBcon,0.313316,NA,NA,cb
mu_jCBdom,0.157919,NA,NA,cb
mu_jCB,0.182381,NA,NA,cb
mu_jCBcon,0.313727,NA,NA,cb
mu_jCBdom,0.150533,NA,NA,cb
mu_jCB,0.171166,NA,NA,cb
mu_jCBcon,0.329805,NA,NA,cb
mu_jCBdom,0.157626,NA,NA,cb
mu_jCB,0.174145,NA,NA,cb
mu_jCBcon,0.351826,NA,NA,cb
mu_jCBdom,0.141991,NA,NA,cb
mu_jCB,0.164994,NA,NA,cb
mu_jCBcon,0.343329,NA,NA,cb
mu_jCBdom,0.18911,NA,NA,cb
mu_jCB,0.162319,NA,NA,cb
mu_jCBcon,0.335907,NA,NA,cb
mu_jCBdom,0.182287,NA,NA,cb
mu_jCB,0.164069,NA,NA,cb
mu_jCBcon,0.30018,NA,NA,cb
mu_jCBdom,0.161271,NA,NA,cb
mu_jCB,0.19639,NA,NA,cb
mu_jCBcon,0.348843,NA,NA,cb
mu_jCBdom,0.144667,NA,NA,cb
mu_jCB,0.170086,NA,NA,cb
mu_jCBcon,0.307765,NA,NA,cb
mu_jCBdom,0.181102,NA,NA,cb
mu_jCB,0.164146,NA,NA,cb
mu_jCBcon,0.364367,NA,NA,cb
mu_jCBdom,0.140513,NA,NA,cb
mu_jCB,0.154412,NA,NA,cb
mu_jCBcon,0.33103,NA,NA,cb
mu_jCBdom,0.148233,NA,NA,cb
mu_jCB,0.172034,NA,NA,cb
mu_jCBcon,0.323208,NA,NA,cb
mu_jCBdom,0.137354,NA,NA,cb
mu_jCB,0.185245,NA,NA,cb
mu_jCBcon,0.317162,NA,NA,cb
mu_jCBdom,0.194348,NA,NA,cb
mu_jCB,0.141121,NA,NA,cb
mu_jCBcon,0.319715,NA,NA,cb
mu_jCBdom,0.148419,NA,NA,cb
mu_jCB,0.167644,NA,NA,cb
mu_jCBcon,0.317781,NA,NA,cb
mu_jCBdom,0.160927,NA,NA,cb
mu_jCB,0.187204,NA,NA,cb
mu_jCBcon,0.322655,NA,NA,cb
mu_jCBdom,0.165555,NA,NA,cb
mu_jCB,0.178751,NA,NA,cb
mu_jCBcon,0.308545,NA,NA,cb
mu_jCBdom,0.16116,NA,NA,cb
mu_jCB,0.143245,NA,NA,cb
mu_jCBcon,0.341107,NA,NA,cb
mu_jCBdom,0.160409,NA,NA,cb
mu_jCB,0.176297,NA,NA,cb
mu_jCBcon,0.32646,NA,NA,cb
mu_jCBdom,0.170059,NA,NA,cb
mu_jCB,0.179241,NA,NA,cb
mu_jCBcon,0.292502,NA,NA,cb
mu_jCBdom,0.157639,NA,NA,cb
mu_jCB,0.159147,NA,NA,cb
mu_jCBcon,0.310583,NA,NA,cb
mu_jCBdom,0.135123,NA,NA,cb
mu_jCB,0.169424,NA,NA,cb
mu_jCBcon,0.343406,NA,NA,cb
mu_jCBdom,0.1523,NA,NA,cb
mu_jCB,0.162212,NA,NA,cb
mu_jCBcon,0.341424,NA,NA,cb
mu_jCBdom,0.158121,NA,NA,cb
mu_jCB,0.17715,NA,NA,cb
mu_jCBcon,0.335717,NA,NA,cb
mu_jCBdom,0.155373,NA,NA,cb
mu_jCB,0.161892,NA,NA,cb
mu_jCBcon,0.287884,NA,NA,cb
mu_jCBdom,0.169073,NA,NA,cb
mu_jCB,0.158245,NA,NA,cb
mu_jCBcon,0.341875,NA,NA,cb
mu_jCBdom,0.16431,NA,NA,cb
mu_jCB,0.162469,NA,NA,cb
mu_jCBcon,0.327972,NA,NA,cb
mu_jCBdom,0.137467,NA,NA,cb
mu_jCB,0.152088,NA,NA,cb
mu_jCBcon,0.342951,NA,NA,cb
mu_jCBdom,0.188522,NA,NA,cb
mu_jCB,0.146851,NA,NA,cb
mu_jCBcon,0.335758,NA,NA,cb
mu_jCBdom,0.151501,NA,NA,cb
mu_jCB,0.168219,NA,NA,cb
mu_jCBcon,0.342107,NA,NA,cb
mu_jCBdom,0.156632,NA,NA,cb
mu_jCB,0.162042,NA,NA,cb
mu_jCBcon,0.323849,NA,NA,cb
mu_jCBdom,0.161469,NA,NA,cb
mu_jCB,0.167707,NA,NA,cb
mu_jCBcon,0.347009,NA,NA,cb
mu_jCBdom,0.150213,NA,NA,cb
mu_jCB,0.152449,NA,NA,cb
mu_jCBcon,0.320171,NA,NA,cb
mu_jCBdom,0.144665,NA,NA,cb
mu_jCB,0.184286,NA,NA,cb
mu_jCBcon,0.336359,NA,NA,cb
mu_jCBdom,0.147255,NA,NA,cb
mu_jCB,0.15677,NA,NA,cb
mu_jCBcon,0.340834,NA,NA,cb
mu_jCBdom,0.136714,NA,NA,cb
mu_jCB,0.170176,NA,NA,cb
mu_jCBcon,0.308904,NA,NA,cb
mu_jCBdom,0.168682,NA,NA,cb
mu_jCB,0.16765,NA,NA,cb
mu_jCBcon,0.30336,NA,NA,cb
mu_jCBdom,0.170478,NA,NA,cb
mu_jCB,0.164747,NA,NA,cb
mu_jCBcon,0.34927,NA,NA,cb
mu_jCBdom,0.144753,NA,NA,cb
mu_jCB,0.145407,NA,NA,cb
mu_jCBcon,0.342205,NA,NA,cb
mu_jCBdom,0.165669,NA,NA,cb
mu_jCB,0.157214,NA,NA,cb
mu_jCBcon,0.317575,NA,NA,cb
mu_jCBdom,0.153865,NA,NA,cb
mu_jCB,0.157334,NA,NA,cb
mu_jCBcon,0.357686,NA,NA,cb
mu_jCBdom,0.162786,NA,NA,cb
mu_jCB,0.162687,NA,NA,cb
mu_jCBcon,0.337198,NA,NA,cb
mu_jCBdom,0.15891,NA,NA,cb
mu_jCB,0.181714,NA,NA,cb
mu_jCBcon,0.389343,NA,NA,cb
mu_jCBdom,0.178743,NA,NA,cb
mu_jCB,0.151197,NA,NA,cb
mu_jCBcon,0.35331,NA,NA,cb
mu_jCBdom,0.165279,NA,NA,cb
mu_jCB,0.182312,NA,NA,cb
mu_jCBcon,0.323239,NA,NA,cb
mu_jCBdom,0.172244,NA,NA,cb
mu_jCB,0.181585,NA,NA,cb
mu_jCBcon,0.340604,NA,NA,cb
mu_jCBdom,0.175526,NA,NA,cb
mu_jCB,0.162693,NA,NA,cb
mu_jCBcon,0.35206,NA,NA,cb
mu_jCBdom,0.1546,NA,NA,cb
mu_jCB,0.187145,NA,NA,cb
mu_jCBcon,0.33312,NA,NA,cb
mu_jCBdom,0.151929,NA,NA,cb
mu_jCB,0.151893,NA,NA,cb
mu_jCBcon,0.32617,NA,NA,cb
mu_jCBdom,0.173137,NA,NA,cb
mu_jCB,0.184299,NA,NA,cb
mu_jCBcon,0.328143,NA,NA,cb
mu_jCBdom,0.168524,NA,NA,cb
mu_jCB,0.164366,NA,NA,cb
mu_jCBcon,0.327722,NA,NA,cb
mu_jCBdom,0.168253,NA,NA,cb
mu_jCB,0.167197,NA,NA,cb
mu_jCBcon,0.336163,NA,NA,cb
mu_jCBdom,0.168108,NA,NA,cb
mu_jCB,0.182998,NA,NA,cb
mu_jCBcon,0.346272,NA,NA,cb
mu_jCBdom,0.140965,NA,NA,cb
mu_jCB,0.147151,NA,NA,cb
mu_jCBcon,0.349054,NA,NA,cb
mu_jCBdom,0.159571,NA,NA,cb
mu_jCB,0.165877,NA,NA,cb
mu_jCBcon,0.300519,NA,NA,cb
mu_jCBdom,0.148429,NA,NA,cb
mu_jCB,0.151561,NA,NA,cb
mu_jCBcon,0.320895,NA,NA,cb
mu_jCBdom,0.162166,NA,NA,cb
mu_jCB,0.175164,NA,NA,cb
mu_jCBcon,0.369723,NA,NA,cb
mu_jCBdom,0.167437,NA,NA,cb
mu_jCB,0.164932,NA,NA,cb
mu_jCBcon,0.302453,NA,NA,cb
mu_jCBdom,0.166742,NA,NA,cb
mu_jCB,0.166725,NA,NA,cb
mu_jCBcon,0.367662,NA,NA,cb
mu_jCBdom,0.176128,NA,NA,cb
mu_jCB,0.166187,NA,NA,cb
mu_jCBcon,0.351269,NA,NA,cb
mu_jCBdom,0.160093,NA,NA,cb
mu_jCB,0.165202,NA,NA,cb
mu_jCBcon,0.292626,NA,NA,cb
mu_jCBdom,0.142135,NA,NA,cb
mu_jCB,0.167591,NA,NA,cb
mu_jCBcon,0.350599,NA,NA,cb
mu_jCBdom,0.158673,NA,NA,cb
mu_jCB,0.184377,NA,NA,cb
mu_jCBcon,0.285391,NA,NA,cb
mu_jCBdom,0.149109,NA,NA,cb
mu_jCB,0.156898,NA,NA,cb
mu_jCBcon,0.320754,NA,NA,cb
mu_jCBdom,0.131924,NA,NA,cb
mu_jCB,0.178707,NA,NA,cb
mu_jCBcon,0.297886,NA,NA,cb
mu_jCBdom,0.17212,NA,NA,cb
mu_jCB,0.146996,NA,NA,cb
mu_jCBcon,0.331912,NA,NA,cb
mu_jCBdom,0.13813,NA,NA,cb
mu_jCB,0.165917,NA,NA,cb
mu_jCBcon,0.32018,NA,NA,cb
mu_jCBdom,0.161523,NA,NA,cb
mu_jCB,0.149179,NA,NA,cb
mu_jCBcon,0.387018,NA,NA,cb
mu_jCBdom,0.176231,NA,NA,cb
mu_jCB,0.1623,NA,NA,cb
mu_jCBcon,0.382469,NA,NA,cb
mu_jCBdom,0.167904,NA,NA,cb
mu_jCB,0.148237,NA,NA,cb
mu_jCBcon,0.306232,NA,NA,cb
mu_jCBdom,0.165531,NA,NA,cb
mu_jCB,0.180084,NA,NA,cb
mu_jCBcon,0.344715,NA,NA,cb
mu_jCBdom,0.153442,NA,NA,cb
mu_jCB,0.14871,NA,NA,cb
mu_jCBcon,0.328224,NA,NA,cb
mu_jCBdom,0.191569,NA,NA,cb
mu_jCB,0.167538,NA,NA,cb
mu_jCBcon,0.34619,NA,NA,cb
mu_jCBdom,0.152974,NA,NA,cb
mu_jCB,0.159561,NA,NA,cb
mu_jCBcon,0.327231,NA,NA,cb
mu_jCBdom,0.141609,NA,NA,cb
mu_jCB,0.18585,NA,NA,cb
mu_jCBcon,0.346399,NA,NA,cb
mu_jCBdom,0.141506,NA,NA,cb
mu_jCB,0.178414,NA,NA,cb
mu_jCBcon,0.315826,NA,NA,cb
mu_jCBdom,0.135788,NA,NA,cb
mu_jCB,0.194276,NA,NA,cb
mu_jCBcon,0.323917,NA,NA,cb
mu_jCBdom,0.141151,NA,NA,cb
mu_jCB,0.185689,NA,NA,cb
mu_jCBcon,0.346811,NA,NA,cb
mu_jCBdom,0.16344,NA,NA,cb
mu_jCB,0.157032,NA,NA,cb
mu_jCBcon,0.356564,NA,NA,cb
mu_jCBdom,0.1702,NA,NA,cb
mu_jCB,0.165115,NA,NA,cb
mu_jCBcon,0.342958,NA,NA,cb
mu_jCBdom,0.141581,NA,NA,cb
mu_jCB,0.167434,NA,NA,cb
mu_jCBcon,0.320464,NA,NA,cb
mu_jCBdom,0.190743,NA,NA,cb
mu_jCB,0.159935,NA,NA,cb
mu_jCBcon,0.297917,NA,NA,cb
mu_jCBdom,0.165551,NA,NA,cb
mu_jCB,0.153169,NA,NA,cb
mu_jCBcon,0.289559,NA,NA,cb
mu_jCBdom,0.184318,NA,NA,cb
mu_jCB,0.178628,NA,NA,cb
mu_jCBcon,0.285282,NA,NA,cb
mu_jCBdom,0.175855,NA,NA,cb
mu_jCB,0.171507,NA,NA,cb
mu_jCBcon,0.346157,NA,NA,cb
mu_jCBdom,0.142087,NA,NA,cb
mu_jCB,0.171183,NA,NA,cb
mu_jCBcon,0.308432,NA,NA,cb
mu_jCBdom,0.175596,NA,NA,cb
mu_jCB,0.136228,NA,NA,cb
mu_jCBcon,0.356306,NA,NA,cb
mu_jCBdom,0.16863,NA,NA,cb
mu_jCB,0.156413,NA,NA,cb
mu_jCBcon,0.339098,NA,NA,cb
mu_jCBdom,0.169104,NA,NA,cb
mu_jCB,0.145009,NA,NA,cb
mu_jCBcon,0.3321,NA,NA,cb
mu_jCBdom,0.178072,NA,NA,cb
mu_jCB,0.124829,NA,NA,cb
mu_jCBcon,0.331047,NA,NA,cb
mu_jCBdom,0.173509,NA,NA,cb
mu_jCB,0.140192,NA,NA,cb
mu_jCBcon,0.301029,NA,NA,cb
mu_jCBdom,0.173679,NA,NA,cb
mu_jCB,0.15617,NA,NA,cb
mu_jCBcon,0.3632,NA,NA,cb
mu_jCBdom,0.152513,NA,NA,cb
mu_jCB,0.156553,NA,NA,cb
mu_jCBcon,0.350034,NA,NA,cb
mu_jCBdom,0.142563,NA,NA,cb
mu_jCB,0.17185,NA,NA,cb
mu_jCBcon,0.309507,NA,NA,cb
mu_jCBdom,0.15758,NA,NA,cb
mu_jCB,0.179669,NA,NA,cb
mu_jCBcon,0.351502,NA,NA,cb
mu_jCBdom,0.144654,NA,NA,cb
mu_jCB,0.179719,NA,NA,cb
mu_jCBcon,0.318179,NA,NA,cb
mu_jCBdom,0.162907,NA,NA,cb
mu_jCB,0.189912,NA,NA,cb
mu_jCBcon,0.306019,NA,NA,cb
mu_jCBdom,0.133616,NA,NA,cb
mu_jCB,0.154495,NA,NA,cb
mu_jCBcon,0.35123,NA,NA,cb
mu_jCBdom,0.183188,NA,NA,cb
mu_jCB,0.166036,NA,NA,cb
mu_jCBcon,0.343083,NA,NA,cb
mu_jCBdom,0.1509,NA,NA,cb
mu_jCB,0.138556,NA,NA,cb
mu_jCBcon,0.289412,NA,NA,cb
mu_jCBdom,0.177283,NA,NA,cb
mu_jCB,0.177642,NA,NA,cb
mu_jCBcon,0.328425,NA,NA,cb
mu_jCBdom,0.170409,NA,NA,cb
mu_jCB,0.177719,NA,NA,cb
mu_jCBcon,0.345475,NA,NA,cb
mu_jCBdom,0.17098,NA,NA,cb
mu_jCB,0.136618,NA,NA,cb
mu_jCBcon,0.336966,NA,NA,cb
mu_jCBdom,0.151634,NA,NA,cb
mu_jCB,0.166068,NA,NA,cb
mu_jCBcon,0.326577,NA,NA,cb
mu_jCBdom,0.159638,NA,NA,cb
mu_jCB,0.160289,NA,NA,cb
mu_jCBcon,0.325687,NA,NA,cb
mu_jCBdom,0.172519,NA,NA,cb
mu_jCB,0.16837,NA,NA,cb
mu_jCBcon,0.356697,NA,NA,cb
mu_jCBdom,0.143761,NA,NA,cb
mu_jCB,0.13791,NA,NA,cb
mu_jCBcon,0.307977,NA,NA,cb
mu_jCBdom,0.177212,NA,NA,cb
mu_jCB,0.152427,NA,NA,cb
mu_jCBcon,0.354834,NA,NA,cb
mu_jCBdom,0.176464,NA,NA,cb
mu_jCB,0.162429,NA,NA,cb
mu_jCBcon,0.326747,NA,NA,cb
mu_jCBdom,0.163513,NA,NA,cb
mu_jCB,0.1695,NA,NA,cb
mu_jCBcon,0.38784,NA,NA,cb
mu_jCBdom,0.156359,NA,NA,cb
mu_jCB,0.155813,NA,NA,cb
mu_jCBcon,0.316131,NA,NA,cb
mu_jCBdom,0.148802,NA,NA,cb
mu_jCB,0.147012,NA,NA,cb
mu_jCBcon,0.321543,NA,NA,cb
mu_jCBdom,0.158039,NA,NA,cb
mu_jCB,0.174584,NA,NA,cb
mu_jCBcon,0.335712,NA,NA,cb
mu_jCBdom,0.154435,NA,NA,cb
mu_jCB,0.166983,NA,NA,cb
mu_jCBcon,0.326607,NA,NA,cb
mu_jCBdom,0.167404,NA,NA,cb
mu_jCB,0.136033,NA,NA,cb
mu_jCBcon,0.321685,NA,NA,cb
mu_jCBdom,0.163989,NA,NA,cb
mu_jCB,0.160969,NA,NA,cb
mu_jCBcon,0.324724,NA,NA,cb
mu_jCBdom,0.139712,NA,NA,cb
mu_jCB,0.161637,NA,NA,cb
mu_jCBcon,0.302571,NA,NA,cb
mu_jCBdom,0.158663,NA,NA,cb
mu_jCB,0.16212,NA,NA,cb
mu_jCBcon,0.328726,NA,NA,cb
mu_jCBdom,0.197067,NA,NA,cb
mu_jCB,0.157828,NA,NA,cb
mu_jCBcon,0.335072,NA,NA,cb
mu_jCBdom,0.135748,NA,NA,cb
mu_jCB,0.162512,NA,NA,cb
mu_jCBcon,0.325897,NA,NA,cb
mu_jCBdom,0.165686,NA,NA,cb
mu_jCB,0.162722,NA,NA,cb
mu_jCBcon,0.372653,NA,NA,cb
mu_jCBdom,0.16799,NA,NA,cb
mu_jCB,0.15696,NA,NA,cb
mu_jCBcon,0.314781,NA,NA,cb
mu_jCBdom,0.160384,NA,NA,cb
mu_jCB,0.153965,NA,NA,cb
mu_jCBcon,0.349303,NA,NA,cb
mu_jCBdom,0.170019,NA,NA,cb
mu_jCB,0.168324,NA,NA,cb
mu_jCBcon,0.330462,NA,NA,cb
mu_jCBdom,0.15897,NA,NA,cb
mu_jCB,0.159383,NA,NA,cb
mu_jCBcon,0.328914,NA,NA,cb
mu_jCBdom,0.169022,NA,NA,cb
mu_jCB,0.16395,NA,NA,cb
mu_jCBcon,0.308943,NA,NA,cb
mu_jCBdom,0.156555,NA,NA,cb
mu_jCB,0.17814,NA,NA,cb
mu_jCBcon,0.339069,NA,NA,cb
mu_jCBdom,0.143474,NA,NA,cb
mu_jCB,0.156914,NA,NA,cb
mu_jCBcon,0.343183,NA,NA,cb
mu_jCBdom,0.132428,NA,NA,cb
mu_jCB,0.17082,NA,NA,cb
mu_jCBcon,0.33917,NA,NA,cb
mu_jCBdom,0.195711,NA,NA,cb
mu_jCB,0.148888,NA,NA,cb
mu_jCBcon,0.393575,NA,NA,cb
mu_jCBdom,0.14632,NA,NA,cb
mu_jCB,0.166183,NA,NA,cb
mu_jCBcon,0.345158,NA,NA,cb
mu_jCBdom,0.138914,NA,NA,cb
mu_jCB,0.160341,NA,NA,cb
mu_jCBcon,0.341196,NA,NA,cb
mu_jCBdom,0.180588,NA,NA,cb
mu_jCB,0.146337,NA,NA,cb
mu_jCBcon,0.354423,NA,NA,cb
